x,y,z,name
310262.915,2739564.354,778.17,24.1
310264.3743,2739562.061,776.37,23.13
310265.4883,2739559.412,774.37,22.16
310267.4344,2739558.012,771.46,21.28
310269.3938,2739556.224,769.66,21.18
310271.3036,2739554.704,768.26,18.29
310273.0169,2739553.3,766.36,17.22
310274.2325,2739552.412,766.16,16.22
310275.7084,2739549.475,764.46,15.21
310276.5645,2739546.991,762.86,14.2
310276.8433,2739544.606,760.66,13.26
310276.0914,2739541.771,759.06,12.23
310276.4365,2739539.436,757.96,11.43
310276.0417,2739536.462,756.96,11.37
310276.2635,2739534.208,755.06,11.28
310276.4349,2739531.48,754.67,10.23
310276.3693,2739529.25,754.35,9.2
310276.2011,2739527.374,752.95,8.2
310276.685,2739524.556,751.05,7.19
310276.8131,2739522.454,748.77,6.15
310276.5986,2739519.938,745.07,4.14
310277.9853,2739518.915,742.6,3.15
310277.3666,2739516.695,740.9,2.12
310276.869,2739514.588,739.3,1.09
310274.7205,2739511.237,735.6,0.04
310274.2778,2739509.061,733.9,0.01
310270.851,2739508.831,735.1,0.02
310268.9258,2739509.086,737.1,0.05
310267.4499,2739509.936,739.1,1.01
310265.7687,2739509.404,741.6,2.01
310264.1369,2739508.795,743.4,3.01
310262.5056,2739508.785,745.2,4.01
310261.1184,2739508.185,747.8,6.01
310258.8287,2739508.257,750.95,7.01
310257.7488,2739507.802,751.85,8.01
310256.1188,2739507.916,753.05,9.01
310255.0476,2739506.923,753.95,10.01
310252.6685,2739505.259,754.375,11.01
310251.273,2739505.982,754.95,12.01
310250.3259,2739508.32,756.375,12.02
310248.9887,2739509.678,757.375,13.01
310249.0208,2739511.844,759.175,13.02
310247.6491,2739513.822,760.075,14.01
310247.019,2739515.815,761.275,15.01
310246.5392,2739517.613,762.175,16.01
310246.3098,2739519.185,762.84,16.02
310245.9857,2739522.223,763.76,N12
310245.7301,2739523.17,765.38,16.03
310244.4526,2739524.909,765.58,17.01
310243.8373,2739526.391,766.88,18.01
310243.5883,2739527.854,768.48,19.01
310243.7941,2739530.16,770.28,20.01
310243.7424,2739531.983,771.08,20.02
310243.2802,2739534.659,771.78,21.01
310242.9693,2739537.061,772.98,22.01
310243.4678,2739539.278,774.08,22.02
310243.8519,2739540.404,774.47,23.01
310244.65,2739542.925,774.97,23.02
310244.1406,2739544.648,775.97,23.03
310244.376,2739546.701,776.77,23.04
310244.431,2739549.365,777.67,24.01
310244.534,2739551.118,778.07,24.02
310245.5948,2739552.881,778.67,24.03
310246.4239,2739554.51,778.97,24.04
310247.9479,2739556.796,779.67,24.05
310250.9748,2739559.012,779.77,24.06
310254.6361,2739561.221,779.17,24.07
310256.7962,2739562.623,779.07,24.08
310259.2431,2739563.949,779.17,24.09
310262.915,2739564.354,778.17,24.1
,,,
,,,
,,,
,,,
,,,
,,,
