event,rain,intensity,duration,max_i,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,
1,42.8,0.91,46.8,1,12.43,12.21,11.98,11.76,11.57,11.39,11.23,11.08,10.94,10.82,10.70,10.59,10.4909,0.23,0.23,0.22,0.19,0.17,0.16,0.15,0.14,0.12,0.12,0.11,0.10,
2,51.0,1.15,44.2,1,5.08,4.77,4.50,4.26,4.06,3.87,3.69,3.54,3.38,3.25,3.13,3.01,2.9113,0.32,0.27,0.24,0.20,0.18,0.18,0.16,0.15,0.13,0.13,0.11,0.10,
3,1.4,0.22,6.5,0.2,0.27,0.24,0.20,0.14,0.08,0.03,-0.03,-0.09,-0.15,-0.21,-0.28,-0.33,-0.3806,0.02,0.04,0.06,0.06,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.05,
4,11.2,0.19,60.2,0.4,3.04,2.85,2.62,2.40,2.19,1.99,1.81,1.64,1.48,1.33,1.20,1.07,0.962,0.19,0.22,0.22,0.21,0.20,0.18,0.17,0.16,0.15,0.13,0.13,0.11,
5,6.0,0.21,28.8,0.2,1.19,1.05,0.94,0.83,0.71,0.59,0.48,0.38,0.28,0.18,0.09,0.01,-0.0727,0.13,0.11,0.11,0.12,0.12,0.11,0.10,0.10,0.10,0.09,0.08,0.08,
6,13.8,0.77,18,1,6.27,5.87,5.46,5.10,4.80,4.52,4.25,4.02,3.81,3.62,3.44,3.25,3.0614,0.41,0.41,0.36,0.30,0.28,0.26,0.23,0.21,0.19,0.19,0.19,0.19,
7,8.0,0.42,19,0.8,2.40,2.31,2.21,2.12,2.04,1.96,1.88,1.79,1.71,1.65,1.58,1.52,1.4575,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.06,0.06,
8,6.8,0.15,45.7,0.2,2.23,2.45,2.50,2.52,2.52,2.51,2.50,2.48,2.45,2.43,2.41,2.38,2.357,-0.22,-0.05,-0.02,0.00,0.01,0.01,0.02,0.03,0.02,0.03,0.02,0.03,
9,52.0,0.3,172,1.8,2.35,2.35,2.32,2.26,2.21,2.16,2.10,2.03,1.97,1.91,1.86,1.80,1.7435,0.00,0.03,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,
10,15.6,1.32,11.8,3.2,7.48,6.60,5.77,5.11,4.58,4.14,3.77,3.46,3.19,2.96,2.76,2.57,2.4179,0.87,0.84,0.66,0.52,0.44,0.37,0.31,0.27,0.23,0.21,0.18,0.15,
11,9.0,0.37,24.5,1,2.83,2.82,2.81,2.80,2.78,2.77,2.74,2.73,2.70,2.68,2.66,2.63,1.7541,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.88,
12,15.4,1.02,15.2,2.4,8.64,8.12,7.66,7.29,6.97,6.67,6.38,6.16,5.97,5.79,5.64,5.50,5.3804,0.52,0.46,0.37,0.32,0.31,0.28,0.23,0.19,0.17,0.15,0.14,0.12,
13,8.2,0.5,16.5,3,1.15,1.18,1.16,1.13,1.09,1.04,0.99,0.93,0.88,0.84,0.79,0.73,1.2558,-0.03,0.02,0.03,0.04,0.04,0.06,0.06,0.05,0.04,0.05,0.05,-0.52,
14,12.2,3.18,3.8,1.4,6.58,5.51,4.72,4.14,3.69,3.31,2.99,2.74,2.50,2.32,2.14,1.98,1.8443,1.08,0.78,0.58,0.46,0.38,0.32,0.26,0.23,0.19,0.18,0.15,0.14,
15,10.2,0.23,45,0.4,4.85,4.76,4.66,4.58,4.49,4.40,4.31,4.22,4.12,4.03,3.94,3.95,3.8796,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.10,0.10,0.08,-0.01,0.07,
16,8.8,0.26,33.8,0.4,2.60,2.47,2.36,2.25,2.15,2.05,1.94,1.73,1.63,1.55,1.46,1.42,1.3541,0.13,0.12,0.11,0.10,0.10,0.11,0.21,0.11,0.08,0.09,0.04,0.07,
17,3.0,0.11,26.3,0.2,1.01,0.99,0.97,0.95,0.93,0.91,0.89,0.86,0.81,0.76,0.72,0.69,0.6587,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.05,0.04,0.04,0.03,
