name,x,y,z,,x1,y1,z1
2.01,310265.2298,2739507.608,740.7425,£c1,310260.0 ,2739531.0 ,757.0 
2.03,310265.498,2739509.41,740.6225,£c2,310273.8 ,2739538.0 ,758.0 
3.01,310263.4707,2739506.855,742.9225,£c3,310258.0 ,2739528.0 ,755.0 
3.02,310263.7372,2739508.842,742.4925,£c4,310256.0 ,2739514.1 ,751.0 
3.03,310263.1654,2739510.536,743.4775,£c5,310253.6 ,2739521.0 ,755.8 
3.04,310263.2842,2739512.389,743.3925,£c6,310259.0 ,2739539.5 ,762.5 
3.1,310265.8257,2739515.789,743.4275,£c7,310264.7 ,2739556.5 ,772.0 
3.11,310267.1969,2739515.302,743.3775,£c8,310263.0 ,2739560.0 ,776.5 
3.12,310269.4002,2739516.351,744.0675,£c9,310254.0 ,2739550.5 ,770.8 
4.01,310261.5803,2739506.843,744.8125,£c10,310248.3 ,2739540.5 ,768.8 
4.03,310261.0612,2739510.617,745.2925,,,,
4.1,310268.6979,2739517.913,745.5675,,,,
5.06,310266.4657,2739518.656,746.5925,,,,
6.04,310260.9754,2739511.795,746.4925,,,,
6.05,310257.5446,2739514.053,748.2975,,,,
6.1,310260.4957,2739506.441,747.25,,,,
6.2,310261.1166,2739508.71,747.15,,,,
6.3,310260.2204,2739510.074,748.05,,,,
7.01,310257.247,2739507.402,749.8975,,,,
7.02,310257.7953,2739508.062,750.0975,,,,
7.03,310257.2815,2739509.806,750.0975,,,,
7.04,310256.3906,2739511.708,750.0975,,,,
7.05,310256.0151,2739513.306,749.9925,,,,
7.6,310255.1962,2739516.665,751.0925,,,,
7.7,310256.0233,2739517.548,750.1925,,,,
8.01,310255.4868,2739505.427,750.69,,,,
8.02,310255.3825,2739506.696,751.39,,,,
8.03,310254.8786,2739507.967,751.49,,,,
8.1,310261.3218,2739516.681,746.4925,,,,
8.4,310254.6744,2739510.152,751.8925,,,,
8.5,310253.981,2739512.454,751.6925,,,,
8.6,310253.4623,2739514.49,752.0925,,,,
8.7,310253.7509,2739516.557,751.7925,,,,
8.8,310254.7599,2739517.716,751.7925,,,,
8.9,310255.0478,2739519.662,752.0925,,,,
9.1,310253.7733,2739506,752.6,,,,
9.1,310260.6836,2739518.168,748.15,,,,
9.2,310253.3769,2739508.005,753.1,,,,
9.3,310252.6976,2739509.787,753.1,,,,
9.4,310252.3234,2739511.732,753.1925,,,,
9.5,310251.8261,2739513.827,753.3925,,,,
9.6,310251.9353,2739516.126,753.6925,,,,
9.7,310252.7419,2739517.505,753.6925,,,,
9.8,310252.9681,2739519.273,753.6925,,,,
10.06,310250.8518,2739513.206,754.7675,,,,
10.07,310250.517,2739515.513,754.4675,,,,
10.08,310250.7393,2739517.218,755.1675,,,,
10.09,310251.1691,2739519.08,755.4675,,,,
10.1,310251.979,2739521.126,755.3625,,,,
10.1,310254.442,2739505.215,752.9675,,,,
10.11,310253.4338,2739522.902,755.6825,,,,
10.12,310259.8041,2739520.132,749.35,,,,
10.2,310253.148,2739506.272,753.5675,,,,
10.3,310252.6569,2739507.743,754.0675,,,,
10.4,310251.9582,2739509.226,754.5675,,,,
10.5,310251.6089,2739511.033,754.5675,,,,
11.04,310250.0877,2739510.29,756.7675,,,,
11.05,310249.2726,2739512.542,756.8675,,,,
11.06,310248.1249,2739514.23,757.4175,,,,
11.07,310248.0032,2739516.632,757.4175,,,,
11.08,310248.8925,2739518.581,757.4725,,,,
11.1,310251.5729,2739503.23,753.8825,,,,
11.11,310251.891,2739524.029,757.2825,,,,
11.12,310253.1846,2739525.34,757.1825,,,,
11.15,310260.8394,2739525.741,752.12,,,,
11.16,310260.7253,2739525.977,752.62,,,,
11.2,310251.6205,2739505.33,756.5775,,,,
11.22,310262.3313,2739530.005,756.12,,,,
11.29,310259.3344,2739530.989,757.43,,,,
11.3,310250.7006,2739508.088,755.5925,,,,
11.3,310262.1327,2739531.087,756.45,,,,
11.31,310262.0699,2739533.486,757.53,,,,
11.37,310279.2201,2739531.743,750.07,,,,
11.38,310260.4362,2739531.197,756.73,,,,
11.4,310271.1569,2739532.259,754.73,,,,
11.9,310250.3,2739520.875,758.0825,,,,
12.01,310249.1271,2739504.639,754.59,,,,
12.02,310248.1836,2739506.553,755.89,,,,
12.03,310248.2963,2739508.45,757.14,,,,
12.04,310248.4329,2739510.081,758.1675,,,,
12.05,310247.9117,2739511.772,758.4175,,,,
12.06,310248.4536,2739519.033,758.9725,,,,
12.14,310257.8703,2739532.53,758.83,,,,
12.15,310260.5067,2739533.366,759.73,,,,
12.17,310264.092,2739533.489,757.73,,,,
12.18,310265.8788,2739534.088,757.53,,,,
12.19,310267.3754,2739535.725,758.315,,,,
12.2,310269.2928,2739536.2,757.9275,,,,
12.21,310273.8149,2739534.239,754.73,,,,
12.24,310263.5751,2739535.138,758.515,,,,
12.25,310265.4915,2739535.938,758.617,,,,
12.7,310249.078,2739522.23,759.6825,,,,
12.8,310250.5869,2739523.858,757.7825,,,,
12.9,310251.4248,2739525.411,758.1825,,,,
13.01,310246.5042,2739507.819,756.89,,,,
13.02,310247.0154,2739509.872,758.8675,,,,
13.03,310246.8614,2739513.844,758.8175,,,,
13.04,310246.4671,2739516.04,759.4175,,,,
13.05,310246.1791,2739517.388,760.0175,,,,
13.06,310246.4597,2739519.343,760.7175,,,,
13.1,310249.478,2739525.672,759.7825,,,,
13.11,310250.6991,2739526.589,759.2825,,,,
13.12,310252.5348,2739526.77,758.8825,,,,
13.14,310257.272,2739528.513,757.03,,,,
13.15,310256.6889,2739531.871,759.13,,,,
13.16,310258.1763,2739534.041,760.0675,,,,
13.17,310259.8237,2739534.975,760.2675,,,,
13.18,310261.6422,2739535.46,759.618,,,,
13.19,310262.9584,2739537.131,760.0675,,,,
13.2,310264.8685,2739537.941,760.0675,,,,
13.21,310266.4659,2739538.049,759.216,,,,
13.22,310268.0857,2739538.943,758.8675,,,,
13.23,310270.3667,2739539.844,758.8675,,,,
13.24,310274.2838,2739539.745,758.0575,,,,
13.25,310278.4752,2739532.459,750.53,,,,
13.7,310247.7475,2739522.367,761.2825,,,,
13.8,310247.6565,2739524.181,761.3825,,,,
13.9,310249.124,2739523.881,759.3825,,,,
14.01,310245.3428,2739511.856,759.9175,,,,
14.02,310245.3446,2739517.628,760.8175,,,,
14.05,310246.7456,2739524.565,762.7825,,,,
14.09,310262.4574,2739516.319,746.3925,,,,
14.1,310258.5623,2739536.3,761.4675,,,,
14.11,310260.7297,2739536.87,760.8675,,,,
14.12,310262.406,2739539.741,761.2675,,,,
14.13,310264.0773,2739540.266,760.8675,,,,
14.14,310265.8999,2739540.458,760.215,,,,
14.15,310267.2738,2739541.316,760.3675,,,,
14.16,310269.5839,2739541.495,760.215,,,,
14.17,310270.9033,2739542.429,760.5675,,,,
14.18,310272.9752,2739542.853,759.9675,,,,
14.2,310279.346,2739533.629,750.906,,,,
14.3,310246.9516,2739520.124,762.1825,,,,
14.4,310246.6618,2739522.103,762.6825,,,,
14.6,310247.8826,2739525.919,761.2825,,,,
14.8,310250.6151,2739528.011,760.6825,,,,
15.01,310244.822,2739514.142,761.0175,,,,
15.02,310245.6483,2739521.766,763.9825,,,,
15.03,310245.9811,2739524.457,763.9825,,,,
15.04,310246.7577,2739526.33,762.5825,,,,
15.06,310249.929,2739529.258,761.6825,,,,
15.08,310254.7616,2739531.668,761.2825,,,,
15.09,310255.7959,2739532.921,761.0825,,,,
15.1,310257.8394,2739536.856,761.785,,,,
15.11,310258.3348,2739538.498,762.1675,,,,
15.12,310260.4127,2739539.418,761.8675,,,,
15.13,310261.3196,2739540.883,761.8675,,,,
15.14,310263.1782,2739541.801,761.4675,,,,
15.15,310265.1792,2739542.072,761.115,,,,
15.16,310266.6041,2739542.895,761.2675,,,,
15.17,310268.4982,2739544.007,761.3675,,,,
15.18,310270.2829,2739544.947,761.8675,,,,
15.19,310272.5582,2739545.296,761.7675,,,,
16.01,310244.0688,2739516.048,761.8175,,,,
16.02,310245.2231,2739518.187,762.7825,,,,
16.03,310244.3676,2739521.572,765.0825,,,,
16.04,310245.5644,2739524.081,764.7825,,,,
16.05,310246.1169,2739525.966,763.9825,,,,
16.07,310249.461,2739530.023,762.7825,,,,
16.08,310251.807,2739531.301,762.6675,,,,
16.09,310253.429,2739532.654,762.5675,,,,
